"foldChange","dispersion","u","fdr","power","m","m1","X1","X2"
4,1,1,0.05,0.9,30000,100,43,0.255
4,1,1,0.05,0.9,30000,500,36,0.232
4,1,1,0.05,0.9,30000,1500,32,0.16
4,1,1,0.05,0.9,30000,3000,28,0.155
4,1,1,0.1,0.8,10000,100,30,0.156
4,1,1,0.1,0.8,10000,500,23,0.135
4,1,1,0.1,0.8,10000,1500,19,0.134
4,1,1,0.1,0.8,10000,3000,15,0.0670000000000002
4,1,1,0.1,0.8,30000,100,34,0.231
4,1,1,0.1,0.8,30000,500,28,0.148
4,1,1,0.1,0.8,30000,1500,23,0.134
4,1,1,0.1,0.8,30000,3000,21,0.128
4,1,1,0.1,0.9,10000,100,35,0.231999999999999
4,1,1,0.1,0.9,10000,500,28,0.162
4,1,1,0.1,0.9,10000,1500,23,0.130000000000001
4,1,1,0.1,0.9,10000,3000,19,0.122999999999999
4,1,1,0.1,0.9,30000,100,40,0.241000000000001
4,1,1,0.1,0.9,30000,500,33,0.157
4,1,1,0.1,0.9,30000,1500,28,0.152
4,1,1,0.1,0.9,30000,3000,25,0.135
4,1,5,0.01,0.8,10000,100,28,2.492
4,1,5,0.01,0.8,10000,500,24,2.329
4,1,5,0.01,0.8,10000,1500,20,1.772
4,1,5,0.01,0.8,10000,3000,18,1.719
4,1,5,0.01,0.8,30000,100,31,2.297
4,1,5,0.01,0.8,30000,500,27,2.142
4,1,5,0.01,0.8,30000,1500,24,1.861
4,1,5,0.01,0.8,30000,3000,22,1.839
4,1,5,0.01,0.9,10000,100,33,2.354
4,1,5,0.01,0.9,10000,500,28,2.164
4,1,5,0.01,0.9,10000,1500,24,1.896
4,1,5,0.01,0.9,10000,3000,22,1.899
4,1,5,0.01,0.9,30000,100,36,4.019
4,1,5,0.01,0.9,30000,500,32,2.187
4,1,5,0.01,0.9,30000,1500,28,2.499
4,1,5,0.01,0.9,30000,3000,26,2.68
4,1,5,0.05,0.8,10000,100,24,2.066
4,1,5,0.05,0.8,10000,500,19,1.875
4,1,5,0.05,0.8,10000,1500,16,0.922000000000002
4,1,5,0.05,0.8,10000,3000,13,0.806999999999997
4,1,5,0.05,0.8,30000,100,27,2.341
4,1,5,0.05,0.8,30000,500,22,2.002
4,1,5,0.05,0.8,30000,1500,19,1.89
4,1,5,0.05,0.8,30000,3000,17,0.883999999999997
4,1,5,0.05,0.9,10000,100,28,2.4
4,1,5,0.05,0.9,10000,500,23,1.967
4,1,5,0.05,0.9,10000,1500,19,2.118
4,1,5,0.05,0.9,10000,3000,16,0.890999999999999
4,1,5,0.05,0.9,30000,100,31,2.357
4,1,5,0.05,0.9,30000,500,26,2.184
4,1,5,0.05,0.9,30000,1500,23,2.014
4,1,5,0.05,0.9,30000,3000,21,1.903
4,1,5,0.1,0.8,10000,100,22,1.895
4,1,5,0.1,0.8,10000,500,17,0.827000000000001
4,1,5,0.1,0.8,10000,1500,14,0.825999999999998
4,1,5,0.1,0.8,10000,3000,11,0.757000000000005
4,1,5,0.1,0.8,30000,100,25,1.978
4,1,5,0.1,0.8,30000,500,20,1.86599999999999
4,1,5,0.1,0.8,30000,1500,17,0.859000000000004
4,1,5,0.1,0.8,30000,3000,15,0.812999999999998
4,1,5,0.1,0.9,10000,100,26,2.293
4,1,5,0.1,0.9,10000,500,21,1.792
4,1,5,0.1,0.9,10000,1500,17,0.914999999999997
4,1,5,0.1,0.9,10000,3000,14,0.885
4,1,5,0.1,0.9,30000,100,29,2.218
4,1,5,0.1,0.9,30000,500,24,1.918
4,1,5,0.1,0.9,30000,1500,21,1.836
4,1,5,0.1,0.9,30000,3000,18,1.789
4,1,10,0.01,0.8,10000,100,27,7.46800000000001
4,1,10,0.01,0.8,10000,500,23,6.281
4,1,10,0.01,0.8,10000,1500,19,5.906
4,1,10,0.01,0.8,10000,3000,17,2.842
4,1,10,0.01,0.8,30000,100,30,7.94599999999999
4,1,10,0.01,0.8,30000,500,26,7.156
4,1,10,0.01,0.8,30000,1500,23,6.37500000000001
4,1,10,0.01,0.8,30000,3000,21,5.893
4,1,10,0.01,0.9,10000,100,32,7.89599999999999
4,1,10,0.01,0.9,10000,500,27,8.865
4,1,10,0.01,0.9,10000,1500,23,6.899
4,1,10,0.01,0.9,10000,3000,21,6.323
4,1,10,0.01,0.9,30000,100,35,12.973
4,1,10,0.01,0.9,30000,500,30,7.967
4,1,10,0.01,0.9,30000,1500,27,7.228
4,1,10,0.01,0.9,30000,3000,25,6.557
4,1,10,0.05,0.8,10000,100,23,6.389
4,1,10,0.05,0.8,10000,500,18,5.783
4,1,10,0.05,0.8,10000,1500,15,2.68499999999999
4,1,10,0.05,0.8,10000,3000,13,2.54400000000001
4,1,10,0.05,0.8,30000,100,26,7.23399999999999
4,1,10,0.05,0.8,30000,500,21,5.87700000000001
4,1,10,0.05,0.8,30000,1500,18,5.82999999999999
4,1,10,0.05,0.8,30000,3000,16,2.69
4,1,10,0.05,0.9,10000,100,27,7.25500000000001
4,1,10,0.05,0.9,10000,500,22,6.261
4,1,10,0.05,0.9,10000,1500,18,6.88800000000001
4,1,10,0.05,0.9,10000,3000,15,2.735
4,1,10,0.05,0.9,30000,100,30,7.755
4,1,10,0.05,0.9,30000,500,25,6.307
4,1,10,0.05,0.9,30000,1500,22,6.16400000000002
4,1,10,0.05,0.9,30000,3000,20,6.04299999999998
4,1,10,0.1,0.8,10000,100,21,5.69500000000002
